,Entity,Code,Year,Solar (% electricity),Wind (% electricity),Solar (TWh – sub method),Wind (TWh – sub method)
0,Africa,,2000,0.0,0.055,0.033,0.488
1,Africa,,2001,0.0,0.105,0.041,1.147
2,Africa,,2002,0.004,0.093,0.049,1.216
3,Africa,,2003,0.004,0.126,0.058,1.459
4,Africa,,2004,0.004,0.151,0.07,2.08
5,Africa,,2005,0.004,0.155,0.083,2.099
6,Africa,,2006,0.005,0.156,0.104,2.279
7,Africa,,2007,0.007,0.202,0.137,2.699
8,Africa,,2008,0.008,0.218,0.193,3.463
9,Africa,,2009,0.012,0.285,0.252,4.169
10,Africa,,2010,0.064,0.37,0.554,5.957
11,Africa,,2011,0.077,0.375,1.559,6.185
12,Africa,,2012,0.096,0.351,2.561,6.48
13,Africa,,2013,0.107,0.513,2.02,9.2
14,Africa,,2014,0.259,0.778,4.931,12.877
15,Africa,,2015,0.393,1.159,9.087,22.542
16,Africa,,2016,0.563,1.4,12.876,28.106
17,Africa,,2017,0.72,1.484,17.256,31.144
18,Africa,,2018,0.904,1.989,20.617,36.711
19,Africa,,2019,0.971,2.157,27.008,46.696
20,Africa,,2020,1.051,2.145,30.612,53.758
21,Algeria,DZA,1985,0.0,0.0,0.0,0.0
22,Algeria,DZA,1986,0.0,0.0,0.0,0.0
23,Algeria,DZA,1987,0.0,0.0,0.0,0.0
24,Algeria,DZA,1988,0.0,0.0,0.0,0.0
25,Algeria,DZA,1989,0.0,0.0,0.0,0.0
26,Algeria,DZA,1990,0.0,0.0,0.0,0.0
27,Algeria,DZA,1991,0.0,0.0,0.0,0.0
28,Algeria,DZA,1992,0.0,0.0,0.0,0.0
29,Algeria,DZA,1993,0.0,0.0,0.0,0.0
30,Algeria,DZA,1994,0.0,0.0,0.0,0.0
31,Algeria,DZA,1995,0.0,0.0,0.0,0.0
32,Algeria,DZA,1996,0.0,0.0,0.0,0.0
33,Algeria,DZA,1997,0.0,0.0,0.0,0.0
34,Algeria,DZA,1998,0.0,0.0,0.0,0.0
35,Algeria,DZA,1999,0.0,0.0,0.0,0.0
36,Algeria,DZA,2000,0.0,0.0,0.0,0.0
37,Algeria,DZA,2001,0.0,0.0,0.0,0.0
